iter	Passed	Remaining
1405	13057	5516
1406	13065	5506
1407	13074	5497
1408	13083	5487
1409	13095	5479
1410	13105	5470
1411	13121	5464
1412	13136	5457
1413	13157	5452
1414	13177	5448
1415	13196	5442
1416	13214	5436
1417	13231	5430
1418	13249	5425
1419	13266	5418
1420	13284	5412
1421	13301	5406
1422	13321	5401
1423	13347	5398
1424	13363	5392
1425	13378	5384
1426	13388	5376
1427	13397	5366
1428	13405	5356
1429	13415	5347
1430	13424	5337
1431	13433	5328
1432	13442	5318
1433	13450	5309
1434	13459	5299
1435	13467	5289
1436	13474	5279
1437	13482	5269
1438	13491	5259
1439	13499	5249
1440	13507	5239
1441	13514	5229
1442	13522	5219
1443	13530	5209
1444	13538	5199
1445	13545	5189
1446	13553	5179
1447	13561	5169
1448	13570	5160
1449	13579	5150
1450	13601	5146
1451	13611	5137
1452	13625	5129
1453	13634	5119
1454	13642	5109
1455	13649	5099
1456	13658	5090
1457	13665	5080
1458	13673	5070
1459	13680	5060
1460	13688	5050
1461	13696	5040
1462	13704	5030
1463	13712	5020
1464	13720	5010
1465	13727	5000
1466	13735	4990
1467	13746	4981
1468	13754	4971
1469	13762	4961
1470	13770	4952
1471	13778	4942
1472	13788	4933
1473	13796	4923
1474	13804	4913
1475	13813	4903
1476	13821	4894
1477	13830	4884
1478	13838	4874
1479	13847	4865
1480	13855	4855
1481	13865	4846
1482	13874	4836
1483	13884	4827
1484	13909	4823
1485	13924	4816
1486	13934	4807
1487	13943	4797
1488	13951	4788
1489	13959	4778
1490	13967	4768
1491	13975	4758
1492	13984	4748
1493	13992	4739
1494	14000	4729
1495	14008	4719
1496	14016	4709
1497	14025	4699
1498	14032	4690
1499	14042	4680
1500	14050	4670
1501	14059	4661
1502	14067	4651
1503	14075	4641
1504	14082	4631
1505	14091	4622
1506	14098	4612
1507	14107	4602
1508	14115	4592
1509	14123	4582
1510	14131	4573
1511	14141	4564
1512	14150	4554
1513	14158	4544
1514	14166	4535
1515	14174	4525
1516	14183	4515
1517	14192	4506
